car_id,make,model,year,price_per_day,mileage,availability,location,fuel_type,category,transmission,seats,horsepower,features,image_url,rating,bookings_count,predicted_price
1,Toyota,Accord,2021,79.11,31868,True,Phoenix,Gas,Sedan,Manual,4,165,"GPS, Autopilot",https://placekitten.com/600/400,4.3,13,85.00425849670779
2,Hyundai,Model Y,2021,128.83,77926,False,New York,Electric,SUV,Manual,5,292,"GPS, Bluetooth, AC",https://dummyimage.com/600x400,3.6,49,126.15811151201746
3,Mercedes,Ram 1500,2022,207.57,125435,True,Boston,Gas,Truck,Manual,7,466,"Leather, GPS, AC, Autopilot",https://placekitten.com/600/400,4.5,148,227.73610647803412
4,Tesla,Camry,2024,91.15,100638,True,Dallas,Electric,Sedan,Manual,7,499,"Leather, Backup Cam",https://placekitten.com/600/400,3.8,125,111.97362571173872
5,Nissan,Model Y,2022,247.7,62570,True,New York,Electric,SUV,Automatic,5,355,"AC, GPS, Leather, Bluetooth",https://picsum.photos/600/400,3.8,255,239.00003136215443
6,Nissan,Mustang,2022,60.72,146289,True,Atlanta,Diesel,Sports,Manual,5,262,"Leather, Sunroof, AC",https://picsum.photos/600/400,4.6,56,58.587480596106865
7,Ford,Model Y,2019,114.65,127696,True,Phoenix,Gas,SUV,Automatic,7,424,"Autopilot, Backup Cam, Bluetooth, AC",https://dummyimage.com/600x400,3.9,80,141.80851239468836
8,Toyota,911,2022,243.82,51832,True,Los Angeles,Hybrid,Sports,Automatic,4,341,"Leather, Autopilot, AC",https://dummyimage.com/600x400,4.4,250,271.8873903493093
9,Honda,Accord,2022,82.68,68143,False,Los Angeles,Gas,Sedan,Manual,4,539,"GPS, Backup Cam, Sunroof",https://placekitten.com/600/400,4.9,84,76.85757866563473
10,Hyundai,Ram 1500,2024,242.16,146373,False,Miami,Hybrid,Truck,Manual,7,482,"Sunroof, Leather, Autopilot, AC",https://dummyimage.com/600x400,3.9,32,261.8679510232166
11,Toyota,Ram 1500,2021,159.46,6885,True,New York,Electric,Truck,Automatic,4,590,"AC, Leather, GPS, Bluetooth",https://placekitten.com/600/400,4.5,109,148.37551220561872
12,Audi,X5,2025,83.46,128987,False,Miami,Gas,SUV,Automatic,7,370,"Sunroof, Autopilot, Backup Cam, AC",https://placekitten.com/600/400,4.5,50,77.62952921505395
13,Chevrolet,Accord,2019,84.7,54862,True,Chicago,Diesel,Sedan,Automatic,5,386,"Autopilot, AC, Sunroof",https://picsum.photos/600/400,4.7,281,87.77413066024646
14,Toyota,Altima,2018,243.18,66965,True,Denver,Diesel,Sedan,Automatic,5,180,"Sunroof, AC, Autopilot",https://placekitten.com/600/400,3.9,232,173.38927651561752
